Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-11 00:00:00;;12.52;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-12 00:00:00;;12.04;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-13 00:00:00;;13.64;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-14 00:00:00;;13.77;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-15 00:00:00;;13.73;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-16 00:00:00;;13.76;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-17 00:00:00;;14.17;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-18 00:00:00;;15.08;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-19 00:00:00;;15.69;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-20 00:00:00;;16.43;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-21 00:00:00;;16.30;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-22 00:00:00;;16.08;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-23 00:00:00;;15.11;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-24 00:00:00;;14.88;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-25 00:00:00;;15.25;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-26 00:00:00;;15.94;Freigegeben, geprüfte Daten
