Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-06 00:00:00;;126.515;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-07 00:00:00;;129.162;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-08 00:00:00;;142.152;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-09 00:00:00;;174.519;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-10 00:00:00;;177.539;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-11 00:00:00;;151.154;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-12 00:00:00;;138.834;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-13 00:00:00;;141.782;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-14 00:00:00;;147.639;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-15 00:00:00;;173.280;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-16 00:00:00;;197.114;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-17 00:00:00;;179.734;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-18 00:00:00;;162.985;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-19 00:00:00;;142.733;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-20 00:00:00;;143.012;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-21 00:00:00;;131.361;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-22 00:00:00;;124.738;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-23 00:00:00;;122.987;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-24 00:00:00;;117.646;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-25 00:00:00;;100.556;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-26 00:00:00;;103.159;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-27 00:00:00;;113.802;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-28 00:00:00;;134.123;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-29 00:00:00;;138.440;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-04-30 00:00:00;;149.565;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-01 00:00:00;;176.918;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-02 00:00:00;;175.057;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-03 00:00:00;;162.276;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-04 00:00:00;;161.151;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-05 00:00:00;;162.717;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-06 00:00:00;;174.130;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-07 00:00:00;;209.178;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-08 00:00:00;;228.162;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-09 00:00:00;;207.165;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-10 00:00:00;;194.687;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-11 00:00:00;;187.496;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-12 00:00:00;;194.058;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-13 00:00:00;;216.570;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-14 00:00:00;;216.006;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-15 00:00:00;;215.784;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-16 00:00:00;;217.875;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-17 00:00:00;;227.429;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-18 00:00:00;;205.735;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-19 00:00:00;;196.716;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-20 00:00:00;;181.278;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-21 00:00:00;;184.622;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-22 00:00:00;;187.645;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-23 00:00:00;;204.207;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-24 00:00:00;;225.163;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-25 00:00:00;;217.314;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-26 00:00:00;;193.406;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-27 00:00:00;;201.501;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-28 00:00:00;;254.420;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-29 00:00:00;;259.410;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-30 00:00:00;;247.627;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-05-31 00:00:00;;310.745;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-01 00:00:00;;325.654;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-02 00:00:00;;314.131;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-03 00:00:00;;326.033;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-04 00:00:00;;323.034;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-05 00:00:00;;326.184;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-06 00:00:00;;317.359;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-07 00:00:00;;310.194;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-08 00:00:00;;304.555;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-09 00:00:00;;291.450;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-10 00:00:00;;322.489;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-11 00:00:00;;293.117;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-12 00:00:00;;286.361;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-13 00:00:00;;271.540;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-14 00:00:00;;247.064;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-15 00:00:00;;245.066;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-16 00:00:00;;236.195;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-17 00:00:00;;235.978;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-18 00:00:00;;241.378;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-19 00:00:00;;251.528;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-20 00:00:00;;278.080;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-21 00:00:00;;303.036;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-22 00:00:00;;315.796;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-23 00:00:00;;320.600;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-24 00:00:00;;295.283;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-25 00:00:00;;281.626;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-26 00:00:00;;291.830;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-27 00:00:00;;290.448;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-28 00:00:00;;282.634;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-29 00:00:00;;278.025;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-06-30 00:00:00;;278.483;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-01 00:00:00;;284.022;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-02 00:00:00;;288.950;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-03 00:00:00;;290.397;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-04 00:00:00;;296.656;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-05 00:00:00;;317.248;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-06 00:00:00;;300.591;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-07 00:00:00;;279.098;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-07-08 00:00:00;;260.669;Freigegeben, geprüfte Daten
