Index,station_id,station_name,iso_country_code,latitude,longitude,elevation
GME00126670,GME00126670,REGENSBURG-BURGWEINTING,DE,48.9842,12.1456,341.0
GME00126718,GME00126718,NIEDERSTETTEN,DE,49.3992,9.9653,473.0
GME00126730,GME00126730,NIEDERSTOTZINGEN,DE,48.5342,10.2442,451.0
GME00126754,GME00126754,REIMLINGEN,DE,48.8264,10.5078,435.0
GME00126814,GME00126814,BERG/OBERPFALZ,DE,49.3319,11.4317,421.0
GME00126838,GME00126838,NURNBERG-NETZSTALL,DE,49.4267,11.2553,368.0
GME00126862,GME00126862,NUFRINGEN,DE,48.6217,8.8969,457.0
GME00126874,GME00126874,KIEFERSFELDEN-GACH,DE,47.6192,12.1681,518.0
GME00126898,GME00126898,OBERNDORF/NECKAR-AISTAIG,DE,48.3156,8.5742,480.0
GME00126910,GME00126910,OBERSCHLEISSHEIM,DE,48.2444,11.5539,484.0
GME00126922,GME00126922,OBERSULM-WILLSBACH,DE,49.1289,9.3533,230.0
GME00126946,GME00126946,OBERVIECHTACH,DE,49.4531,12.4381,596.0
GME00126970,GME00126970,OCHSENHAUSEN-MITTELBUCH,DE,48.0456,9.8831,626.0
GME00127006,GME00127006,OFFENBACH/M. (STADT),DE,50.0956,8.7556,110.0
GME00127018,GME00127018,OFFENBURG,DE,48.4603,7.9264,153.0
GME00127030,GME00127030,BAD BERGZABERN,DE,49.1081,7.9969,252.0
GME00127138,GME00127138,OY-MITTELBERG-PETERSTHAL,DE,47.6367,10.3903,872.0
GME00127174,GME00127174,PARSBERG/OBERPFALZ-EGLWANG,DE,49.1517,11.6908,549.0
GME00127186,GME00127186,PASSAU-MAIERHOF,DE,48.5817,13.4167,327.0
GME00127198,GME00127198,PASSAU-OBERHAUS,DE,48.5789,13.4708,409.0
GME00127234,GME00127234,PERL-BESCH,DE,49.5125,6.3864,175.0
GME00127246,GME00127246,PERL-NENNIG,DE,49.5367,6.3808,152.0
GME00127294,GME00127294,PFORZHEIM-EUTINGEN,DE,48.9067,8.7419,246.0
GME00127306,GME00127306,PFORZHEIM-ISPRINGEN,DE,48.9328,8.6967,333.0
GME00127318,GME00127318,PFULLENDORF,DE,47.9353,9.2878,630.0
GME00127342,GME00127342,PIRMASENS,DE,49.1919,7.5881,390.0
GME00127390,GME00127390,POMMELSBRUNN-MITTELBURG,DE,49.4789,11.5367,522.0
GME00127546,GME00127546,RADOLFZELL-MARKELFINGEN,DE,47.7467,9.0017,407.0
GME00127570,GME00127570,RAISTING,DE,47.91,11.1058,553.0
GME00127582,GME00127582,RASTATT,DE,48.8478,8.1869,114.0
GME00127606,GME00127606,RAUSCHBERG BEI RUHPOLDING,DE,47.7333,12.6842,640.0
GME00127618,GME00127618,KR. RAVENSBURG WEINGARTEN,DE,47.8069,9.6217,440.0
GME00127654,GME00127654,BAD REICHENHALL,DE,47.7244,12.8756,470.0
GME00127726,GME00127726,RENNINGEN-IHINGER HOF,DE,48.7433,8.925,478.0
GME00127738,GME00127738,REUTLINGEN-BETZINGEN,DE,48.5058,9.1842,360.0
GME00127750,GME00127750,RHEINAU-MEMPRECHTSHOFEN,DE,48.6708,7.9956,131.0
GME00127786,GME00127786,RHEINFELDEN,DE,47.5633,7.7942,287.0
GME00127810,GME00127810,KREIS BIBERACH ALTHEIM,DE,48.1489,9.4606,533.0
GME00127894,GME00127894,ROSENHEIM,DE,47.8758,12.1292,444.0
GME00127918,GME00127918,ROTH BEI NURNBERG,DE,49.2519,11.0944,340.0
GME00127942,GME00127942,ROTH,DE,49.2158,11.1025,385.0
GME00127954,GME00127954,ROTHENBURG OB DER TAUBER,DE,49.3856,10.1742,415.0
GME00127978,GME00127978,ROTTENBURG-KIEBINGEN,DE,48.4714,8.9694,360.0
GME00128002,GME00128002,ROTTWEIL,DE,48.1819,8.6358,588.0
GME00128014,GME00128014,BAD KREUZNACH,DE,49.8517,7.8725,102.0
GME00128038,GME00128038,RUPPERTSECKEN,DE,49.6478,7.8842,461.0
GME00128098,GME00128098,SAARBRUCKEN-SANKT JOHANN,DE,49.2242,7.0175,193.0
GME00128110,GME00128110,SACHSENHEIM,DE,48.9578,9.0719,248.0
GME00128134,GME00128134,SALDENBURG-ENTSCHENREUTH,DE,48.7842,13.3158,456.0
GME00128242,GME00128242,SANKT WENDEL-URWEILER,DE,49.5033,7.2028,400.0
GME00128266,GME00128266,SCHAAFHEIM-SCHLIERBACH,DE,49.9203,8.9681,155.0
GME00128278,GME00128278,SCHALLSTADT-MENGEN,DE,47.9608,7.7125,215.0
GME00128302,GME00128302,SCHEMMERHOFEN-INGERKINGEN,DE,48.2003,9.7708,519.0
GME00128326,GME00128326,SCHESSLITZ,DE,49.9758,11.0406,317.0
GME00128470,GME00128470,SCHMELZ-HUTTERSDORF,DE,49.4231,6.8403,223.0
GME00128518,GME00128518,BERNKASTEL-KUES,DE,49.9183,7.0681,120.0
GME00128542,GME00128542,SCHOPFHEIM-EICHEN,DE,47.6469,7.8442,400.0
GME00128554,GME00128554,SCHORNDORF-KNOBLING,DE,49.1656,12.6192,399.0
GME00128602,GME00128602,SCHWABISCH GMUND-STRASSDORF,DE,48.7778,9.8033,415.0
GME00128614,GME00128614,SCHWABISCH HALL-BIBERSFELD,DE,49.0828,9.6881,349.0
GME00128650,GME00128650,SCHWANDORF,DE,49.3289,12.0883,356.0
GME00128710,GME00128710,SCHWEINFURT-GARTENSTADT,DE,50.0583,10.2169,240.0
GME00128806,GME00128806,SIGMARINGEN (FLUGPLATZ),DE,48.1,9.25,645.0
GME00128818,GME00128818,SIGMARINGEN-LAIZ,DE,48.0728,9.1953,580.0
GME00128830,GME00128830,SIGMARSZELL-ZEISERTSWEILER,DE,47.5783,9.7417,507.0
GME00128854,GME00128854,SIMBACH/INN,DE,48.2728,13.0289,360.0
GME00128866,GME00128866,SIMMERN-WAHLBACH,DE,50.0017,7.5969,437.0
GME00128878,GME00128878,SINSHEIM,DE,49.2456,8.8794,169.0
GME00128938,GME00128938,WARTHAUSEN-BIRKENHARD,DE,48.1258,9.765,599.0
GME00129094,GME00129094,STOCKACH,DE,47.86,9.0164,532.0
GME00129118,GME00129118,STUTTGART (NECKARTAL),DE,48.7906,9.2178,224.0
GME00129178,GME00129178,TAUBERBISCHOFSHEIM-DITTIGHEIM,DE,49.6131,9.6756,179.0
GME00129250,GME00129250,THOLEY,DE,49.4744,7.0392,386.0
GME00129262,GME00129262,BISCHBRUNN,DE,49.8756,9.4892,412.0
GME00129274,GME00129274,THUNGERSHEIM,DE,49.8819,9.8464,185.0
GME00129298,GME00129298,TIRSCHENREUTH-LODERMUHL,DE,49.8589,12.3556,500.0
GME00129310,GME00129310,TITISEE-NEUSTADT-LANGENORDNACH,DE,47.9403,8.1942,870.0
GME00129382,GME00129382,TRAUNSTEIN-AXDORF,DE,47.8525,12.6194,635.0
GME00129430,GME00129430,TRIER-ZEWEN,DE,49.7325,6.6131,132.0
GME00129454,GME00129454,TROCHTELFINGEN-WILSINGEN,DE,48.2819,9.3144,769.0
GME00129478,GME00129478,TROSTBERG,DE,48.0317,12.5408,559.0
GME00129502,GME00129502,TUTTLINGEN,DE,48.0092,8.8189,649.0
GME00129514,GME00129514,TUTTLINGEN-MOHRINGEN,DE,47.9558,8.7575,675.0
GME00129538,GME00129538,UBERLINGEN/BODENSEE,DE,47.7719,9.1569,446.0
GME00129574,GME00129574,GOLLHOFEN,DE,49.5753,10.1928,308.0
GME00129586,GME00129586,ULM,DE,48.3844,9.9539,567.0
GME00129622,GME00129622,UTTENREUTH,DE,49.5942,11.0717,291.0
GME00129634,GME00129634,VILLINGEN-SCHWENNINGEN,DE,48.0458,8.4617,720.0
GME00129670,GME00129670,VOGTSBURG-OBERROTWEIL,DE,48.0917,7.6358,223.0
GME00129718,GME00129718,WAGHAUSEL-KIRRLACH,DE,49.2456,8.5381,105.0
GME00129826,GME00129826,WALDHAUSER (NATIONAL PARK),DE,48.9303,13.4656,940.0
GME00129838,GME00129838,WALDSASSEN,DE,50.0106,12.2992,509.0
